Date,Open,High,Low,Close,Adj Close,Volume
2000-06-05,1134.640015,1146.469971,1134.640015,1146.069946,1146.069946,0
2000-06-06,1146.550049,1156.199951,1143.319946,1155.959961,1155.959961,0
2000-06-07,1155.630005,1163.069946,1152.640015,1161.310059,1161.310059,0
2000-06-08,1161.369995,1166.530029,1159.859985,1165.719971,1165.719971,0
2000-06-09,1165.959961,1169.969971,1164.050049,1169.260010,1169.260010,0
2000-06-12,null,null,null,null,null,null
2000-06-13,1169.400024,1171.199951,1161.599976,1161.599976,1161.599976,0
2000-06-14,1161.640015,1164.869995,1156.069946,1160.329956,1160.329956,0
2000-06-15,1160.810059,1162.939941,1145.020020,1145.020020,1145.020020,0
2000-06-16,1144.959961,1146.229980,1134.670044,1134.670044,1134.670044,0
2000-06-19,1134.270020,1146.459961,1132.709961,1133.160034,1133.160034,0
2000-06-20,1133.530029,1136.729980,1131.550049,1136.010010,1136.010010,0
2000-06-21,1136.380005,1138.420044,1126.959961,1130.930054,1130.930054,0
2000-06-22,null,null,null,null,null,null
2000-06-23,1131.020020,1137.609985,1124.439941,1137.109985,1137.109985,0
2000-06-26,1137.380005,1138.290039,1132.619995,1134.579956,1134.579956,0
2000-06-27,1134.969971,1137.239990,1128.060059,1131.520020,1131.520020,0
2000-06-28,1130.439941,1131.489990,1122.880005,1130.819946,1130.819946,0
2000-06-29,1131.339966,1132.640015,1122.670044,1126.349976,1126.349976,0
2000-06-30,1126.170044,1130.119995,1118.449951,1129.579956,1129.579956,0
2000-07-03,1129.780029,1131.729980,1121.239990,1125.920044,1125.920044,0
2000-07-04,1124.969971,1125.920044,1119.050049,1125.079956,1125.079956,0
2000-07-05,1125.109985,1126.459961,1109.800049,1117.579956,1117.579956,0
2000-07-06,1117.040039,1117.040039,1101.589966,1106.310059,1106.310059,0
2000-07-07,1105.739990,1105.739990,1089.839966,1103.969971,1103.969971,0
2000-07-10,1104.219971,1104.530029,1092.839966,1095.599976,1095.599976,0
2000-07-11,1096.739990,1097.089966,1090.469971,1096.069946,1096.069946,0
2000-07-12,1096.000000,1101.099976,1093.400024,1100.469971,1100.469971,0
2000-07-13,1100.030029,1101.839966,1094.599976,1097.729980,1097.729980,0
2000-07-14,1098.369995,1098.630005,1092.040039,1096.880005,1096.880005,0
2000-07-17,1096.760010,1096.969971,1088.239990,1094.300049,1094.300049,0
2000-07-18,1094.109985,1094.800049,1081.790039,1087.329956,1087.329956,0
2000-07-19,1087.390015,1096.300049,1086.339966,1095.270020,1095.270020,0
2000-07-20,1095.300049,1109.439941,1093.810059,1108.439941,1108.439941,0
2000-07-21,1108.609985,1124.880005,1106.119995,1116.780029,1116.780029,0
2000-07-24,1116.839966,1167.300049,1114.430054,1150.030029,1150.030029,0
2000-07-25,1150.069946,1150.699951,1134.920044,1147.119995,1147.119995,0
2000-07-26,1147.349976,1151.979980,1142.000000,1143.310059,1143.310059,0
2000-07-27,1143.579956,1147.089966,1139.630005,1142.589966,1142.589966,0
2000-07-28,1142.030029,1147.060059,1138.369995,1139.079956,1139.079956,0
2000-07-31,1138.099976,1143.319946,1132.339966,1142.400024,1142.400024,0
2000-08-01,1142.329956,1158.819946,1141.290039,1158.510010,1158.510010,0
2000-08-02,1158.040039,1168.229980,1157.380005,1167.930054,1167.930054,0
2000-08-03,1165.550049,1169.680054,1155.770020,1158.280029,1158.280029,0
2000-08-04,1158.469971,1164.180054,1158.469971,1162.430054,1162.430054,0
2000-08-07,1162.849976,1179.300049,1159.449951,1179.180054,1179.180054,0
2000-08-08,1179.280029,1190.689941,1177.430054,1188.270020,1188.270020,0
2000-08-09,1188.010010,1189.089966,1179.609985,1180.930054,1180.930054,0
2000-08-10,1181.790039,1184.229980,1167.780029,1178.250000,1178.250000,0
2000-08-11,1178.040039,1178.699951,1172.469971,1174.579956,1174.579956,0
2000-08-14,1175.189941,1175.569946,1164.689941,1171.550049,1171.550049,0
2000-08-15,null,null,null,null,null,null
2000-08-16,1172.109985,1172.119995,1162.739990,1169.349976,1169.349976,0
2000-08-17,1169.359985,1177.050049,1167.079956,1177.050049,1177.050049,0
2000-08-18,1177.530029,1195.219971,1173.650024,1177.660034,1177.660034,0
2000-08-21,1177.069946,1182.170044,1172.969971,1180.140015,1180.140015,0
2000-08-22,1180.359985,1190.670044,1178.989990,1184.000000,1184.000000,0
